Rank,Gene,Cell Type,logFC.ecoVSctrl,logFC.ecpVSctrl,logFC.ecpaVSctrl,logFC.eueVSctrl,logCPM,FDR,Score,Status,Dropped Reason
3062,TMSB4X,Treg,-0.323804355576466,-0.375577527307528,-0.766525159662731,-0.413443170513785,13.0940570943749,6.67529561846246e-08,0.4842238590281685,PASS,
3063,CCDC186,B cell,1.76590096063273,0.302856749465641,0.5165945600873,0.616082650469439,8.53437826385863,2.27747630351869e-32,0.48418388330299655,PASS,
3064,KPNA2,Treg,-1.10807885540866,-0.978260915117162,-0.871843724542789,-0.839993716368471,8.46408555567191,0.0030867610052699,0.4841532288698427,PASS,
3065,CFLAR,Treg,0.183117901350697,0.519470500035956,0.880520182950413,0.473647870679945,9.34655720111766,0.0016293816339244,0.48411643387664105,PASS,
3066,RARRES1,EC-tip,-1.87641237969873,-1.48856256048395,-0.898828684621366,-1.21413213880154,7.19348031996836,4.91797768417765e-51,0.4840630443189339,PASS,
3067,HSPB1,EC-tip,-1.1123451045568,-0.21908378777687,-0.11268532594191,-0.342283853288497,8.80471634937666,2.72842015052039e-54,0.48403787183131514,PASS,
3068,CTSZ,B cell,0.857468703260444,0.0111608979621491,0.084907444338586,0.203251174068885,8.99354888805027,7.48138480960621e-13,0.48402789754513753,PASS,
3069,IFIT3,Mɸ4-infiltrated,2.64329786942561,1.24686086890473,2.852530752532,1.83566772442646,7.75676838745937,1.45507010778176e-51,0.4840144516593165,PASS,
3070,MGAT4A,B cell,1.01971054783797,0.0034683497841982,0.200034798772881,0.264427558030414,8.39228886430375,6.674766644530401e-09,0.4840103510351483,PASS,
3071,SORBS3,Mɸ1-LYVE1,0.981257597299816,0.222319642865761,0.0615582132386808,0.303898298214357,7.64999808686354,3.60986518521675e-25,0.48399377152378537,PASS,
3072,SMIM4,Mɸ1-LYVE1,1.35543059469799,0.281306920079034,0.4386210418815,0.505322378430141,7.77493127404689,2.1634436722883e-45,0.48395174421497233,PASS,
3073,FN1,EC-PCV,3.66558770247998,2.05865133400641,1.57883851268557,2.0314840829575,8.39285855564884,6.61462576662752e-24,0.4839504827181439,PASS,
3074,SLC6A6,Mɸ1-LYVE1,0.659666113120456,1.26613169846953,1.90849534734742,1.15174784741558,7.58805028723422,2.24136779601443e-39,0.48393695957663535,PASS,
3075,RPS20,EC-tip,0.85146771742167,0.616830601298556,0.665905204192239,0.593004789681253,9.60695719070323,3.54535353745078e-55,0.48393263868868197,PASS,
3076,ANKRD22,Mɸ1-LYVE1,-1.25673286416398,-0.0526849096891986,-0.0513601751148311,-0.294135133599326,7.25413595909666,9.265820348139809e-36,0.4839259968176646,PASS,
3077,GIMAP1,Treg,-0.229871090318366,-0.610769610050028,-1.22226291186411,-0.61538101831481,8.61286858426345,0.0001963885406182,0.4839157842519398,PASS,
3078,LHFPL2,B cell,0.946810287311109,0.160183685802233,0.0912849645468859,0.283610945486922,8.32554421125359,1.25124276157466e-07,0.4838594641312248,PASS,
3079,CES1,Mɸ4-infiltrated,-0.788009047426991,-1.73864444340655,-2.09708660840576,-1.42323827609125,7.35504267440536,1.00375776053449e-44,0.4838446407531593,PASS,
3080,ISCU,EC-PCV,-0.128612238257091,-0.487305965304702,-0.659937839513536,-0.396151416878353,8.73798479529627,0.0004109329634737,0.4838276160911689,PASS,
3081,PIK3CB,Mɸ4-infiltrated,1.0847658154049,0.7985014976394,1.72527251086356,1.00514599791701,7.74196313056728,8.906193739426959e-30,0.48381517158859033,PASS,
3082,TRIP6,B cell,0.875122255954113,0.244108429265072,0.146493870807434,0.317246703133646,8.30965147865914,4.54359971320039e-08,0.48378759959687273,PASS,
3083,FMO2,EC-tip,-0.567653225737373,-1.70246858700179,-1.70107066436658,-1.25224227877521,7.25995269952153,1.91466857773482e-32,0.4837809906662157,PASS,
3084,AL357060.1,EC-PCV,1.50834333027663,0.507663882560522,0.262782379712728,0.581087370910038,7.94296109681201,5.99200479358458e-06,0.483762114653828,PASS,
3085,LAP3,Mɸ4-infiltrated,1.53896459229371,1.33523754159524,1.53983103866935,1.26324390091162,8.5107965219463,9.01522114921971e-34,0.48375113464176484,PASS,
3086,RPL7,dS2,0.561392171771863,0.622959012554047,0.320773484078148,0.446879275280492,10.9339550468158,1.67400116382272e-37,0.4837401936130412,PASS,
3087,ERO1A,Mɸ1-LYVE1,0.0705285124489705,0.347860447368144,1.0748615264402,0.444876333105233,7.71796224549331,2.07570760001974e-28,0.4837171029739116,PASS,
3088,PTPRJ,Mɸ4-infiltrated,0.474356757722613,1.00406251787459,1.51442678888783,0.903255721951539,7.99510400836297,5.19291758621137e-33,0.4837152550772519,PASS,
3089,PTGIS,EC-aPCV,-0.336181652153405,-1.33328479505875,-0.877901292903424,-0.830786580911948,8.02371452523306,7.47819910884108e-12,0.48370307025023485,PASS,
3090,MT-ND5,EC-PCV,0.446849654070062,0.642203314061084,0.676419604316315,0.52740351771476,11.2462173481438,2.37904973993982e-09,0.48369641630741855,PASS,
3091,APPL1,Mɸ4-infiltrated,1.34114379262257,0.771922705819996,1.29108506838642,0.930346280009422,7.83915567082752,5.54672660148553e-22,0.4836683769277226,PASS,
3092,CEP350,EC-tip,1.21132734977612,0.455471730696277,0.62552031101017,0.598491302268064,7.7600637960029,1.45652398318135e-34,0.4836636447031197,PASS,
3093,NDUFB2,cDC2,-0.35826260127388,-0.085589571354858,-0.528878422699527,-0.256824594935094,8.8868282973988,2.74571663594887e-06,0.48363172195798737,PASS,
3094,CKAP4,Mɸ4-infiltrated,-1.35991225188441,-1.84757620099924,-2.06101703117389,-1.5815371093017,7.72097436643035,8.92612467748327e-60,0.4835742719698235,PASS,
3095,HLA-DQB1,EC-tip,-1.56046528772543,-0.221972246804358,-0.306962142298272,-0.499818981695309,7.58007730475961,1.02161176625143e-42,0.48341955269354286,PASS,
3096,GPM6B,B cell,0.937837265050009,0.0879801248082842,0.392337596576753,0.343351635546055,8.4331576688912,1.1210829231011e-08,0.4834032361011179,PASS,
3097,FAM184A,Treg,1.85027029397176,0.521698080332768,0.611862985282045,0.758570712239188,8.40025649744608,0.000388430146648,0.48339815766183863,PASS,
