Rank,Gene,Cell Type,logFC.ecoVSctrl,logFC.ecpVSctrl,logFC.ecpaVSctrl,logFC.eueVSctrl,logCPM,FDR,Score,Status,Dropped Reason
199,CCL18,Mɸ1-LYVE1,3.5139108332098,0.569009673773253,2.95045085465302,0.391133251465584,9.28017038324997,1.17274603748748e-84,0.5659015041384724,PASS,
201,CCL4,cDC2,0.181559329793037,2.62591036337812,2.30168226200502,0.361206656568989,7.19562197537496,1.05328132268687e-17,0.5656818946130193,PASS,
202,C11orf96,EC-PCV,1.14393613499645,2.61648137996933,2.34450032329232,0.708515327476611,8.48826525009194,5.12437380933103e-09,0.565414849008465,PASS,
205,NRP2,EC-tip,2.58194623998883,2.73544026923187,3.00660470951819,1.45090749730674,7.64368278045711,2.11864926794762e-102,0.5649518618282571,PASS,
206,FILIP1L,EC-PCV,0.502758967877118,2.55343648003762,2.76003174206961,0.634634167520365,8.36972752363156,5.89572543524037e-16,0.5648798640134955,PASS,
209,CXCL3,Mɸ1-LYVE1,0.87488048045674,2.0151190819319,3.00185228340436,0.544552357092918,7.51206509276142,7.50879254383931e-75,0.5647225251776913,PASS,
210,CSGALNACT1,Prv-CCL19,0.345359148865138,2.53881318214115,2.94553197954806,0.647904988108468,8.61288178266883,3.39320078596924e-70,0.5647092089792868,PASS,
212,GPNMB,Prv-CCL19,1.35053976455133,2.60560572084398,2.89748465410528,0.996728917335361,8.76239136193023,1.94890446240499e-47,0.5645465997134655,PASS,
215,RGS1,Mɸ4-infiltrated,3.44904224585687,2.33604887158879,1.0150979472675,0.697277799322627,8.29533609888489,6.663286195367121e-63,0.5641467789241105,PASS,
217,SNTA1,Prv-CCL19,0.540307703154732,2.09720490992642,2.1462576773024,0.155350929793278,8.50843490237413,1.06968719697338e-42,0.5634557314849478,PASS,
220,EREG,Mɸ1-LYVE1,1.34942969646957,1.69416415376795,2.63386007237031,0.406749713127166,7.35753586863297,1.16270592847115e-38,0.562475456771111,PASS,
221,SLC7A2,Prv-CCL19,2.16394638618617,2.29164305365593,2.06273190040327,0.784005067234977,8.68029770800105,6.571342316499221e-25,0.5622470361246001,PASS,
222,CSRNP1,EC-aPCV,1.55427949893904,2.34177549317955,1.94276330358757,0.586911702792484,8.39302279117751,1.57015755275837e-12,0.5618478558116174,PASS,
223,PNP,EC-aPCV,1.1813879237894,2.30566369007028,2.21955276102645,0.562650519843922,8.28220708287806,2.05961432808279e-07,0.5617500930898452,PASS,
224,C9orf40,EC-aPCV,2.01864426845128,2.32388933274674,2.13638856132799,0.80225084616089,8.11589129178943,3.98342917628837e-05,0.5614843685770129,PASS,
225,RSPO3,EC-PCV,1.20011936053999,2.80088823894068,2.34947149345494,0.906992523896838,8.460257630526,7.453823935572739e-16,0.5610415462612127,PASS,
227,AC108134.2,dS2,2.81332920932176,1.6980193316583,1.35416858972303,0.357202538382449,7.22864530342628,3.02251161568562e-127,0.5608340371603396,PASS,
228,BTNL9,EC-tip,3.66527892373546,1.50025096708756,2.31183466063843,0.86540256397257,7.52583181040527,2.91515328175649e-182,0.5607311027618814,PASS,
229,C5AR2,Mɸ1-LYVE1,0.846917233583831,2.17677216751775,2.03701381631786,0.329139361706007,7.66145482567127,6.60641438347165e-48,0.5604478092166155,PASS,
230,LYST,EC-PCV,1.26248491702013,1.81248609941312,1.69220740771309,0.103286051780157,8.57349556068964,4.85533361920033e-09,0.5603253048729303,PASS,
231,ZBTB16,Prv-CCL19,2.55379020110249,2.11046054496064,2.46877071758181,0.985625908486012,8.48486982005319,4.45577555745665e-32,0.5602442870730524,PASS,
233,LDLR,EC-aPCV,1.35261050206758,2.38663699919811,2.28199183655932,0.721597183503537,8.47481446307214,1.32187100111997e-06,0.5599223398110063,PASS,
234,PTGDS,EC-aPCV,1.8085585951279,4.20724856479145,4.02567746240434,2.32651074159291,8.80844554156248,6.173221894475499e-12,0.5599085095771886,PASS,
235,JUN,EC-tip,1.32645069874081,2.24109215678579,1.65324473061865,0.375871560999839,8.63455924641415,1.15750183804285e-58,0.5598385642665298,PASS,
237,PODN,Prv-CCL19,1.79956212403477,2.13120317196562,2.07215433192778,0.632927497169225,8.45427032431891,2.56836174226555e-28,0.559804042592418,PASS,
239,ARID5B,EC-aPCV,1.15833892465759,2.387805238985,2.10408977555392,0.595453422720871,8.42493281881651,3.35244812438345e-12,0.5596724142781387,PASS,
241,ZBTB16,EC-PCV,2.6290160101402,2.0505161524725,2.0941223090945,0.839861625902421,8.22817441136779,4.82560003431663e-09,0.5595965714077823,PASS,
242,SMAP2,cDC2,2.83187295460752,1.41979254857072,1.66716198237609,0.353105719008127,8.63322828871357,5.30102316339225e-64,0.5595580296199324,PASS,
244,SESN1,cDC2,2.00953773675038,1.59777160921108,1.84042371668402,0.292593262595473,7.20376516491888,7.54083558619648e-16,0.5594746071638548,PASS,
247,CD44,Prv-CCL19,0.559219775064718,2.02897887988727,2.19990158145519,0.242938763602012,9.93492828921866,2.40442304288288e-80,0.5589893838177407,PASS,
252,ARID5B,EC-tip,2.25415695034517,2.96770123839465,2.51415903233585,1.40287178755717,7.70607348237098,1.96994692289998e-83,0.5581599263671041,PASS,
253,POSTN,EC-PCV,2.762371216886,1.32247415203139,1.05411253540379,0.0403403659678088,8.79674420787738,2.58745149669228e-14,0.5579790476502786,PASS,
255,TNS1,Mɸ1-LYVE1,2.03708244094697,1.96610649351791,2.13375330313901,0.669726793917593,7.56286439387598,2.58364016851891e-25,0.5578689193509387,PASS,
256,CA4,EC-tip,5.37710552275561,0.936630755132274,0.0851997765897975,0.0482942374788786,8.05894034661045,0,0.5578280302079609,PASS,
258,GPR34,Mɸ4-infiltrated,2.95179457141434,1.81464605523562,1.88492902943783,0.745675205585217,7.57212231585279,3.92011907250135e-55,0.557721900920087,PASS,
259,DUSP1,EC-tip,1.36078775619337,1.92505038607906,1.31237142940473,0.0997042043503249,9.0513389655947,9.57031163352262e-73,0.5576613372069894,PASS,
260,FKBP5,Prv-CCL19,2.80451917365916,1.67835637825329,1.43307226559597,0.443736386657169,8.53467127209089,1.449153414667e-31,0.5575868102534872,PASS,
261,MAP3K8,cDC2,2.06801917403114,1.25173583294074,1.59597088632287,0.0428769156583569,7.64686296715649,5.65060181104466e-19,0.5571504769942305,PASS,
263,RAB3C,EC-PCV,0.48861433505328,2.37098002840967,1.92745483332113,0.347248953818827,8.15857071566134,5.43115251458337e-18,0.5571047647945274,PASS,
